txn_date,narration,amount,bank_ref,batch_notes
2026-08-07,RAZORPAY SETTLE AR0ZJ7U,304742.83,UTR-15082158,clean_batch
2026-07-19,RAZORPAY SETTLE 6J8Y6RH,185258.14,UTR-42488275,clean_batch
2026-07-22,RAZORPAY SETTLE IZX3HCW,237656.17,UTR-92304487,clean_batch
2026-08-18,RAZORPAY SETTLE EMTX015,180739.9,UTR-38158070,clean_batch
2026-07-08,RAZORPAY SETTLE 8J0NMEO,511472.83,UTR-46484819,fee_drift: bank total off by 7.88 from summed settlement net
2026-07-11,RAZORPAY SETTLE UIXNS2Z,99255.01,UTR-99186817,clean_batch
2026-07-12,RAZORPAY SETTLE 064W3U1,77296.29,UTR-14919926,clean_batch
2026-08-16,RAZORPAY SETTLE 7G2RE6Z,267848.93,UTR-87814308,duplicate_bank_row: erroneous duplicate posting
2026-08-03,RAZORPAY SETTLE 1ZLBORI,109275.62,UTR-50618137,clean_batch
2026-07-13,RAZORPAY SETTLE 0FQLDB2,503375.5,UTR-19454577,fee_drift: bank total off by 1.93 from summed settlement net
2026-07-26,RAZORPAY SETTLE UDP2FMR,442367.15,UTR-16618423,clean_batch
2026-08-01,RAZORPAY SETTLE HWJQ4TA,183840.1,UTR-41927492,clean_batch
2026-08-06,RAZORPAY SETTLE WT9NM3V,129130.12,UTR-86129797,clean_batch
2026-07-16,RAZORPAY SETTLE OGZ2UEA,238701.2,UTR-37570830,clean_batch
2026-08-09,RAZORPAY SETTLE N1X2GDG,164088.44,UTR-72673716,clean_batch
2026-07-13,RAZORPAY SETTLE 38HVQRH,88877.55,UTR-90643207,clean_batch
2026-07-06,RAZORPAY SETTLE 961J88Q,195242.07,UTR-28546206,fee_drift: bank total off by 15.7 from summed settlement net
2026-08-05,RAZORPAY SETTLE WHHKT1Y,118487.19,UTR-30041488,clean_batch
2026-07-29,RAZORPAY SETTLE EL5015O,216312.79,UTR-50714693,clean_batch
2026-08-16,RAZORPAY SETTLE 7G2RE6Z,267848.93,UTR-87814308,clean_batch
2026-08-14,RAZORPAY SETTLE 83RU7MY,197774.69,UTR-17408103,clean_batch
2026-08-16,RAZORPAY SETTLE R81BMQF,112129.94,UTR-81848989,clean_batch
2026-07-20,RAZORPAY SETTLE WTLRJ4B,290995.03,UTR-31923376,fee_drift: bank total off by -6.32 from summed settlement net
2026-07-02,RAZORPAY SETTLE 3DZEEDH,66760.96,UTR-45298445,fee_drift: bank total off by -18.08 from summed settlement net
2026-07-26,RAZORPAY SETTLE UDP2FMR,442367.15,UTR-16618423,duplicate_bank_row: erroneous duplicate posting
2026-07-23,RAZORPAY SETTLE T94OW3L,199399.84,UTR-85584002,clean_batch
2026-07-24,RAZORPAY SETTLE B7GBDGB,134713.96,UTR-62156850,clean_batch
