order_id,invoice_id,case_type,expected_match,expected_category,notes
order_4izasnwywr,INV-2026-00138,clean,True,clean,clean
order_c4xl9967i6,INV-2026-00141,partial_refund,True,partial_refund,partial_refund: refund of ~14022.6 reduces net vs invoice_amount
order_k20in8910t,INV-2026-00179,clean,True,clean,clean
order_lrmjkv5usg,INV-2026-00039,clean,True,clean,clean
order_2knftu2gc5,INV-2026-00057,clean,True,clean,clean
order_j9a3y36ddf,INV-2026-00139,clean,True,clean,clean
order_2mtr6snglh,INV-2026-00188,delayed_settlement,False,delayed_settlement,delayed_settlement: settlement lands well outside a tight date window
order_p0lvsnujza,INV-2026-00024,clean,True,clean,clean
order_pnsm43d8w3,INV-2026-00037,clean,True,clean,clean
order_bhb7s9tj1g,INV-2026-00095,clean,True,clean,clean
order_abn7g8b2zx,INV-2026-00177,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_93mzywr7mk,INV-2026-00213,clean,True,clean,clean
order_7eeqtul1p3,INV-2026-00029,clean,True,clean,clean
order_bpt11f9i6u,INV-2026-00130,clean,True,clean,clean
order_w4a7fq9p96,INV-2026-00166,clean,True,clean,clean
order_9e3nwxuj3a,INV-2026-00185,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_unj48vfcx7,INV-2026-00084,clean,True,clean,clean
order_os0fb4ypei,INV-2026-00098,clean,True,clean,clean
order_ym52xg8p6b,INV-2026-00103,clean,True,clean,clean
order_qt3wvedn9u,INV-2026-00110,clean,True,clean,clean
order_9wrsb4gf16,INV-2026-00176,clean,True,clean,clean
order_se45bg34iq,INV-2026-00207,clean,True,clean,clean
order_m8t2sa5bnn,INV-2026-00093,clean,True,clean,clean
order_pjrht7zewv,INV-2026-00117,clean,True,clean,clean
order_dvlnknd669,INV-2026-00146,clean,True,clean,clean
order_jn6fokzixz,INV-2026-00167,clean,True,clean,clean
order_3lbqgu3oby,,orphan_settlement,False,orphan_settlement,orphan_settlement: no matching internal ledger invoice exists
order_oljq52wspo,INV-2026-00203,clean,True,clean,clean
order_7u6n7hv3iz,INV-2026-00036,clean,True,clean,clean
order_xi5bj5d5e3,INV-2026-00161,partial_refund,True,partial_refund,partial_refund: refund of ~9371.02 reduces net vs invoice_amount
order_1ocjxzefli,INV-2026-00163,clean,True,clean,clean
order_dktmonrvbj,INV-2026-00204,clean,True,clean,clean
order_984uvkyrmj,INV-2026-00211,clean,True,clean,clean
order_00u686xii5,INV-2026-00214,clean,True,clean,clean
order_yyv37dia5u,INV-2026-00063,clean,True,clean,clean
order_4w3zkwdeek,INV-2026-00157,clean,True,clean,clean
order_y6dpbhsahx,INV-2026-00001,partial_refund,True,partial_refund,partial_refund: refund of ~965.63 reduces net vs invoice_amount
order_fgyw6zbnz8,INV-2026-00087,clean,True,clean,clean
order_brn7zsedfq,INV-2026-00089,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_mgtt0iaaky,INV-2026-00128,clean,True,clean,clean
order_4ptgq9cvah,INV-2026-00172,clean,True,clean,clean
order_jl2z0ljch2,INV-2026-00182,clean,True,clean,clean
order_hc0clbr7tc,INV-2026-00015,clean,True,clean,clean
order_yzcotohp6v,INV-2026-00031,clean,True,clean,clean
order_x4w7kyhqin,INV-2026-00065,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_gf1c8wquuy,INV-2026-00080,clean,True,clean,clean
order_448n7odkef,INV-2026-00192,partial_refund,True,partial_refund,partial_refund: refund of ~21096.12 reduces net vs invoice_amount
order_mf8mdd4v30,INV-2026-00002,partial_refund,True,partial_refund,partial_refund: refund of ~837.47 reduces net vs invoice_amount
order_r56fao72kz,INV-2026-00014,clean,True,clean,clean
order_tk93tyt7d5,INV-2026-00018,clean,True,clean,clean
order_tpac56t4uf,INV-2026-00020,partial_refund,True,partial_refund,partial_refund: refund of ~1627.79 reduces net vs invoice_amount
order_kxwd8il3fb,INV-2026-00027,clean,True,clean,clean
order_rjiw1swjck,INV-2026-00030,partial_refund,True,partial_refund,partial_refund: refund of ~4249.56 reduces net vs invoice_amount
order_aoi4e8xf7k,INV-2026-00051,clean,True,clean,clean
order_b9yo18pajs,INV-2026-00152,clean,True,clean,clean
order_t6dvwrb7f6,INV-2026-00197,partial_refund,True,partial_refund,partial_refund: refund of ~2069.19 reduces net vs invoice_amount
order_z2nx1wvbd4,INV-2026-00220,clean,True,clean,clean
order_m1g9fk2st0,,orphan_settlement,False,orphan_settlement,orphan_settlement: no matching internal ledger invoice exists
order_lcxlvpymb5,INV-2026-00097,clean,True,clean,clean
order_875aud9k9t,,orphan_settlement,False,orphan_settlement,orphan_settlement: no matching internal ledger invoice exists
order_l0mvzmuf84,INV-2026-00190,clean,True,clean,clean
order_jqijc1ydmt,INV-2026-00200,clean,True,clean,clean
order_qpki7p5tb9,INV-2026-00013,clean,True,clean,clean
order_4dnmkza3oa,INV-2026-00059,delayed_settlement,False,delayed_settlement,delayed_settlement: settlement lands well outside a tight date window
order_a0i5ldslcb,INV-2026-00218,clean,True,clean,clean
order_3i12vj99t2,INV-2026-00067,clean,True,clean,clean
order_epkyrybova,INV-2026-00076,partial_refund,True,partial_refund,partial_refund: refund of ~3778.58 reduces net vs invoice_amount
order_2oc6uzhr5x,INV-2026-00005,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_gl58kxo9t7,INV-2026-00023,clean,True,clean,clean
order_jja26yfpmv,INV-2026-00058,clean,True,clean,clean
order_ozd1at7o75,INV-2026-00118,clean,True,clean,clean
order_wyam1n0lh9,INV-2026-00180,clean,True,clean,clean
order_3gdppq0y9d,INV-2026-00012,partial_refund,True,partial_refund,partial_refund: refund of ~12741.36 reduces net vs invoice_amount
order_afeyuhz1gv,INV-2026-00035,clean,True,clean,clean
order_fgv0ec14m2,INV-2026-00052,clean,True,clean,clean
order_ajepecqnvq,INV-2026-00068,clean,True,clean,clean
order_elos6zle6k,INV-2026-00123,clean,True,clean,clean
order_pvn9er14ff,INV-2026-00006,partial_refund,True,partial_refund,partial_refund: refund of ~27699.43 reduces net vs invoice_amount
order_zhwy9hecgz,INV-2026-00100,partial_refund,True,partial_refund,partial_refund: refund of ~315.53 reduces net vs invoice_amount
order_hmy4sj6bw3,INV-2026-00019,clean,True,clean,clean
order_71q3vli7kq,INV-2026-00038,clean,True,clean,clean
order_izl08yg0jv,INV-2026-00041,clean,True,clean,clean
order_1gspk9p38q,INV-2026-00048,clean,True,clean,clean
order_n606n9rr7s,INV-2026-00096,clean,True,clean,clean
order_efqjg02u1g,INV-2026-00121,clean,True,clean,clean
order_rcpprcjiwv,INV-2026-00147,clean,True,clean,clean
order_3cd5glqj5s,INV-2026-00156,partial_refund,True,partial_refund,partial_refund: refund of ~560.91 reduces net vs invoice_amount
order_nc21o0z5qr,INV-2026-00164,clean,True,clean,clean
order_ueybisbo55,INV-2026-00178,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_w5uzbikcid,INV-2026-00003,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_gatj9tze5r,INV-2026-00042,clean,True,clean,clean
order_me8f840982,INV-2026-00062,partial_refund,True,partial_refund,partial_refund: refund of ~2291.21 reduces net vs invoice_amount
order_a0gnzs43c5,INV-2026-00077,clean,True,clean,clean
order_6dut076g5g,INV-2026-00119,clean,True,clean,clean
order_w82lk2n7h9,INV-2026-00149,partial_refund,True,partial_refund,partial_refund: refund of ~3448.54 reduces net vs invoice_amount
order_q01tee13n3,INV-2026-00160,clean,True,clean,clean
order_ebwuwqheyt,INV-2026-00215,clean,True,clean,clean
order_7srcbpljd8,INV-2026-00047,partial_refund,True,partial_refund,partial_refund: refund of ~10556.56 reduces net vs invoice_amount
order_bne6loh25n,INV-2026-00061,partial_refund,True,partial_refund,partial_refund: refund of ~225.44 reduces net vs invoice_amount
order_9sojuv0gyu,INV-2026-00131,orphan_ledger,False,orphan_ledger,"orphan_ledger: payment never received, invoice raised only"
order_p3jpxgh301,INV-2026-00206,delayed_settlement,False,delayed_settlement,delayed_settlement: settlement lands well outside a tight date window
order_sic43olfar,INV-2026-00212,clean,True,clean,clean
order_5k8p4q0b8i,INV-2026-00034,clean,True,clean,clean
order_z3nx39rbsv,INV-2026-00054,partial_refund,True,partial_refund,partial_refund: refund of ~885.82 reduces net vs invoice_amount
order_zgf9q5rdoq,,orphan_settlement,False,orphan_settlement,orphan_settlement: no matching internal ledger invoice exists
