settlement_id,payment_id,order_id,gross_amount,fee,tax_on_fee,net_amount,settled_at,utr
stl_x70fqldb2,pay_vzc7d2kd1p,order_dktmonrvbj,700.14,15.25,2.75,682.14,2026-07-12,UTR-19454577
stl_b07g2re6z,pay_eyce4qgm5v,order_itfoyqbkk4,19780.22,376.04,67.69,19336.49,2026-08-16,UTR-87814308
stl_81udp2fmr,pay_n6sjchzjq8,order_rxo1bdje15,1402.54,29.93,5.39,1367.22,2026-07-26,UTR-16618423
stl_81udp2fmr,pay_sijpyueong,order_t8hljefy3z,6419.03,147.54,26.56,6244.93,2026-07-26,UTR-16618423
stl_wyuixns2z,pay_s1ssrkxlcd,order_7u6n7hv3iz,5519.72,100.04,18.01,5401.67,2026-07-10,UTR-99186817
stl_b07g2re6z,pay_wwg84d4r9v,order_4muekipu1w,1143.61,25.1,4.52,1113.99,2026-08-16,UTR-87814308
stl_v51zlbori,pay_0s1f537ye0,order_o119xp9n56,2191.04,49.56,8.92,2132.56,2026-08-02,UTR-50618137
stl_ipar0zj7u,pay_f5a7qy8yb7,order_u8iogxpbwh,743.76,15.15,2.73,725.88,2026-08-07,UTR-15082158
stl_ta83ru7my,pay_ragdx5o31y,order_pqw2vmcqbn,17145.82,309.96,55.79,16780.07,2026-08-13,UTR-17408103
stl_oowt9nm3v,pay_4f9yecazrp,order_az39pecn0d,302.93,6.85,1.23,294.85,2026-08-05,UTR-86129797
stl_e6wtlrj4b,pay_mqa78rapki,order_71q3vli7kq,94710.55,2106.34,379.14,92225.07,2026-07-19,UTR-31923376
stl_dvn1x2gdg,pay_pwdpjbc01a,order_7ptx63cfl0,50132.69,1037.91,186.82,48907.96,2026-08-09,UTR-72673716
stl_0w064w3u1,pay_rrvsffcxhg,order_448n7odkef,39032.64,771.46,138.86,17026.2,2026-07-12,UTR-14919926
stl_k5ogz2uea,pay_z2omtzjko0,order_4dnmkza3oa,12334.8,283.34,51.0,12000.46,2026-07-31,UTR-37570830
stl_76t94ow3l,pay_fbmenui3do,order_5k8p4q0b8i,8723.44,197.41,35.53,8490.5,2026-07-22,UTR-85584002
stl_u1emtx015,pay_l6spbnqs3q,order_lp8ii7ewbx,80711.53,1759.87,316.78,78634.88,2026-08-17,UTR-38158070
